point,greedy_time_s,global_time_s,window_time_s,global_impr_rate,window_impr_rate,global_impr_rate_pct,window_impr_rate_pct
p1,1.041755097,1.041755097,1.041755097,0,0,0,0
p2,1.755807363,1.765270863,1.760826882,-0.005389828303,-0.002858809292,-0.5389828303,-0.2858809292
p3,1.137036939,1.077843065,1.080727715,0.05205976403,0.04952277489,5.205976403,4.952277489
p4,1.102818069,1.222273289,1.2472877,-0.1083181567,-0.1310004209,-10.83181567,-13.10004209
p5,1.725305896,1.362411976,1.396120572,0.2103359876,0.1907982374,21.03359876,19.07982374
p6,1.136662044,1.052281579,1.021828312,0.07423531489,0.1010271544,7.423531489,10.10271544
p7,1.30687768,1.336489125,1.36165912,-0.02265816114,-0.04191780201,-2.265816114,-4.191780201
p8,1.027698699,0.936480031,0.936480031,0.08876012766,0.08876012766,8.876012766,8.876012766
p9,1.19819054,1.120910285,1.120910285,0.06449746773,0.06449746773,6.449746773,6.449746773
p10,1.47382621,1.27349932,1.27349932,0.1359230071,0.1359230071,13.59230071,13.59230071
