point,greedy_time_s,global_time_s,window_time_s,global_impr_rate,window_impr_rate,global_impr_rate_pct,window_impr_rate_pct
p1,1.353333631,1.37176497,1.353333631,-0.01361921289,0,-1.361921289,0
p2,1.22707426,1.240700829,1.232503785,-0.01110492641,-0.004424772795,-1.110492641,-0.4424772795
p3,1.141979741,1.026714005,1.127156479,0.1009350093,0.01298031992,10.09350093,1.298031992
p4,1.642361881,1.64097681,1.646694539,0.0008433412557,-0.002638065093,0.08433412557,-0.2638065093
p5,1.52549015,1.811131225,1.526404062,-0.1872454406,-0.0005990943122,-18.72454406,-0.05990943122
p6,1.154551474,1.276892579,1.173725325,-0.1059641841,-0.01660718647,-10.59641841,-1.660718647
p7,1.482414265,1.275483775,1.510155793,0.1395901908,-0.01871374859,13.95901908,-1.871374859
p8,1.80864049,1.741485947,1.432358145,0.03712984622,0.2080470648,3.712984622,20.80470648
p9,1.729070586,1.419022696,1.709404261,0.1793147674,0.01137392847,17.93147674,1.137392847
p10,1.758503779,1.433462133,1.757221629,0.1848398906,0.0007291140085,18.48398906,0.07291140085
