point,greedy_time_s,global_time_s,window_time_s,global_impr_rate,window_impr_rate,global_impr_rate_pct,window_impr_rate_pct
p1,1.699735184,1.836788633,1.836788633,-0.08063223627,-0.08063223627,-8.063223627,-8.063223627
p2,1.520082364,1.517378958,1.517378958,0.001778460268,0.001778460268,0.1778460268,0.1778460268
p3,1.701516716,1.162798756,1.159460045,0.3166104419,0.318572639,31.66104419,31.8572639
p4,1.285242218,1.457541111,1.476389429,-0.1340594717,-0.1487246591,-13.40594717,-14.87246591
p5,1.312843098,1.400132465,1.400132465,-0.06648880379,-0.06648880379,-6.648880379,-6.648880379
p6,1.30231245,0.779248488,0.7797265735,0.401642449,0.4012753439,40.1642449,40.12753439
p7,1.506681323,1.563245942,1.563340167,-0.03754252345,-0.03760506188,-3.754252345,-3.760506188
p8,1.438897882,1.206015865,1.206015865,0.1618474944,0.1618474944,16.18474944,16.18474944
p9,1.501413692,0.8159087836,0.8159087836,0.4565729698,0.4565729698,45.65729698,45.65729698
p10,0.9689863423,0.9973026289,0.9973026289,-0.0292225859,-0.0292225859,-2.92225859,-2.92225859
