point,greedy_time_s,global_time_s,window_time_s,global_impr_rate,window_impr_rate,global_impr_rate_pct,window_impr_rate_pct
p1,1.592556061,1.612978089,1.59255838,-0.01282342815,-1.456063862e-06,-1.282342815,-0.0001456063862
p2,1.557073828,1.876581375,1.286050989,-0.2051974295,0.174059081,-20.51974295,17.4059081
p3,1.862317359,1.145817091,1.532029325,0.3847358588,0.1773532488,38.47358588,17.73532488
p4,1.148647394,1.148617496,1.227377009,2.602856377e-05,-0.06854115187,0.002602856377,-6.854115187
p5,1.266493842,1.172207436,1.21054271,0.07444679354,0.04417797379,7.444679354,4.417797379
p6,1.408002333,1.419449208,1.43785862,-0.008129869113,-0.02120471408,-0.8129869113,-2.120471408
p7,1.543007022,1.446457742,1.50302261,0.0625721584,0.02591330536,6.25721584,2.591330536
p8,2.03690647,1.549532823,1.877456203,0.2392714904,0.07828060295,23.92714904,7.828060295
p9,1.645631022,1.453501867,1.627077912,0.116751053,0.01127416129,11.6751053,1.127416129
p10,1.805587249,1.792998619,1.565313167,0.006972041857,0.1330725399,0.6972041857,13.30725399
