ws,7,9
ws1,15.0855376905775,16.328082379071454
ws2,14.993790562022166,15.384219625531715
ws3,14.762496447278245,15.091389205476034
ws4,14.698588640679477,14.955865549554458
ws5,14.675793496769922,14.971270193457075
ws6,14.675793496769922,14.938698225841534
ws7,14.642169354586947,14.936293683308113
ws8,14.640750102434197,14.936293683308113
ws9,14.640750102434197,14.936293683308113
ws10,14.635902667410171,14.936293683308113
ws11,14.635902667410171,14.936293683308113
ws12,14.635902667410171,14.936293683308113
