rate,7,8,9,10,11
r1,0.0,0.0,0.0,0.0,0.0
r2,0.0,0.0,0.0026894545686825173,0.0,0.0
r3,0.023573509326746015,0.0,0.06939839184117362,0.042966976406342464,0.02908497508690748
r4,0.018404196994218056,0.007782387967253839,0.055839196782018465,0.0,0.007877353569577921
r5,0.05816138291351105,0.030952283091315404,0.038251723285090175,0.00963210904089625,0.006178873984586346
r6,0.054866477231872546,0.03077101927130053,0.0830182056497661,0.00762805156684274,0.005292393912704973
r7,0.0452600423697436,0.021088189746622597,0.08589317179179334,0.023338877804319057,0.004949033134050409
r8,0.040449531597477384,0.010615187775665284,0.05565858371507742,0.019249228091868666,0.028007063036179575
r9,0.03954015086013406,0.010031908824852595,0.05233327731516207,0.028919412852831748,0.028947019326140473
r10,0.04776015072358872,0.008792373291433796,0.04849640487383712,0.0260856412024028,0.04750661130175501
r11,0.05635409244006133,0.014159160212856087,0.04448597335066369,0.02849639714639018,0.04466679847007746
r12,0.05164214230952132,0.00809211516671172,0.05150909707594933,0.025958619949477606,0.06067045274798434
r13,0.04706516545777268,0.007739352236140661,0.04316708756145637,0.03144963979715598,0.060754064490341576
r14,0.05231000652500348,0.01609576043637587,0.03613219441753052,0.03436632888265852,0.09230918255182535
r15,0.09699892154013502,0.015079594388374671,0.03787527876556108,0.032638784285506095,0.09070253450117004
r16,0.09046827511671603,0.013674273110356574,0.035648428663836065,0.03246786543336414,0.08502806486853484
r17,0.08561896276568358,0.01284338745540414,0.034301190455338346,0.03145300769323629,0.09444772564760484
r18,0.08305595027678192,0.012545615804368164,0.04139366895404126,0.031081483867770876,0.09201087183064571
r19,0.09005020127754072,0.017711239260553364,0.044733941287195406,0.0307009868484651,0.08420502463203154
r20,0.11075772751911828,0.022178638654042432,0.03729318327606287,0.031006238496459924,0.08226909205442173
r21,0.11467745747758432,0.01784150972063198,0.04192548979804071,0.03175918341728477,0.0769634875621046
r22,0.11077786559202542,0.017063426699183298,0.04084988417297615,0.030417375273218625,0.0768152980837856
r23,0.1165808431852181,0.018225943056534213,0.036635941594157846,0.029289701133683677,0.08217859173190917
r24,0.11111522800281891,0.01664648911828761,0.039538174152873966,0.025533331372664645,0.08075230056217579
r25,0.10770252919854399,0.018096817272239805,0.038885523569638605,0.02484420204335734,0.07692051983034615
