rate,7,8,9,10,11
r1,nan,nan,nan,nan,nan
r2,nan,nan,nan,nan,nan
r3,nan,nan,nan,nan,nan
r4,nan,nan,nan,nan,nan
r5,nan,nan,nan,nan,nan
r6,nan,nan,nan,nan,nan
